airport,lat,long
TPA,27.964157,-82.452606
BWI,39.192047,-76.69499
JAX,30.494071,-81.687937
LAS,30.889177,-94.034927
MCI,39.300643,-94.712594
MCO,28.431881,-81.308304
MDW,41.786776,-87.752188
PHX,33.437269,-112.007788
FLL,26.072747,-80.140029
AUS,30.197429,-97.666306
BDL,41.938874,-72.686031
BHM,33.562427,-86.754126
BNA,36.126317,-86.677371
PIT,40.495772,-80.241311
PVD,41.724527,-71.430406
RDU,35.876723,78.793058
IAD,38.953381,-77.447712
IND,39.716859,-86.295595
PHL,39.87403,-75.249227
